date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:45	93602/93602	---M-Z	200	added ('OK')	text/html	etag:%2216da2-5c2a67157b79c-gzip%22	https://themesbrand.com/minible/layouts/index.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/index.html	(from )
14:52:48	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2014:52:53%20GMT	https://themesbrand.com/robots.txt		(from )
14:52:49	205519/205519	---M-Z	200	added ('OK')	text/css	etag:%22322cf-5c29304414c6c-gzip%22	https://themesbrand.com/minible/layouts/assets/css/bootstrap.min.css	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/minible/layouts/index.html)
14:52:51	80181/80181	---M-Z	200	added ('OK')	text/css	etag:%2213935-5c29304412d2b-gzip%22	https://themesbrand.com/minible/layouts/assets/css/app.min.css	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/css/app.min.css	(from https://themesbrand.com/minible/layouts/index.html)
14:52:52	118550/118550	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221cf16-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/favicon.ico	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/favicon.ico	(from https://themesbrand.com/minible/layouts/index.html)
14:52:52	9913/9913	---M--	200	added ('OK')	image/png	etag:%2226b9-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-sm.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/logo-sm.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:52	385347/385347	---MCZ	200	added ('OK')	text/css	etag:%225e143-5c292b33c4f45-gzip%22	https://themesbrand.com/minible/layouts/assets/css/icons.min.css	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/css/icons.min.css	(from https://themesbrand.com/minible/layouts/index.html)
14:52:52	15599/15599	---M--	200	added ('OK')	image/png	etag:%223cef-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-dark.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:52	15571/15571	---M--	200	added ('OK')	image/png	etag:%223cd3-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-light.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/logo-light.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:53	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/us.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:53	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/spain.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/flags/spain.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:54	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/germany.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/flags/germany.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:54	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/italy.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/flags/italy.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:55	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/russia.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/flags/russia.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:55	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/github.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/github.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:56	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/bitbucket.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/bitbucket.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:56	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/dribbble.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/dribbble.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:56	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/dropbox.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/dropbox.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:57	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/mail_chimp.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/mail_chimp.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:57	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/brands/slack.png	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/brands/slack.png	(from https://themesbrand.com/minible/layouts/index.html)
14:52:58	18274/18274	---M--	200	added ('OK')	image/jpeg	etag:%224762-5c292b33e81d2%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-3.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/users/avatar-3.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:52:59	13993/13993	---M--	200	added ('OK')	image/jpeg	etag:%2236a9-5c292b33e81d2%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-4.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/users/avatar-4.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:53:00	93532/93532	---M-Z	200	added ('OK')	text/html	etag:%2216d5c-5c29304422730-gzip%22	https://themesbrand.com/minible/layouts/layouts-dark-sidebar.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-dark-sidebar.html	(from https://themesbrand.com/minible/layouts/index.html)
